glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,2000.0,48,-3.485827643392356,-2.6235866079294397,0.019193991926247378
gulkana,17.567,2.5,1500.0,50,-3.4617626581504886,-1.7105510179577594,0.043258977168114665
gulkana,17.567,2.5,1200.0,64,-3.4590944162913018,-1.5783632051122745,0.04592721902730146
gulkana,17.567,2.5,900.0,96,-3.503364286051827,-1.8849860695542322,0.0016573492667761869
gulkana,17.567,2.5,700.0,132,-3.5004700514063574,-2.217145667363477,0.00455158391224586
gulkana,17.567,2.5,500.0,217,-3.510264583975033,-2.094426051989204,-0.0052429486564298244
gulkana,17.567,2.5,375.0,363,-3.506986919316164,-2.0421349107721216,-0.001965283997560796
gulkana,17.567,2.5,275.0,605,-3.50908835238521,-2.503934566712236,-0.004066717066606884
gulkana,17.567,2.5,200.0,1031,-3.5066789845853794,-2.9531437736797423,-0.0016573492667761869
gulkana,17.567,2.5,150.0,1764,-3.513773304148506,-3.2502365686724515,-0.008751668829902748
